country,code,continent,population,annual_co2_emissions_per_capita,waste_per_capita_tons_year,gdp_per_capita,income,life_expectancy,child_mortality,health_spending_per_capita
Ghana,GHA,Africa,31887755,0.6011012,0.16425000761303218,6412.6962771132685,LMC,64.3089,4.1990833,248.67259
Greece,GRC,Europe,10699317,5.192684,0.5239999787240436,30485.06703166193,HIC,81.5361,0.40139127,2765.263
Greenland,GRL,North America,56056,9.582454,0.8786574114752658,68913.96073569288,HIC,70.1558,NA,NA
Grenada,GRD,North America,116304,2.488788,0.28001359429660316,14661.383641147338,UMC,75.019,1.8662648,787.14264
Guatemala,GTM,North America,17357274,0.9889047,0.1696202439032344,11097.18268006831,UMC,69.9707,2.3673427,555.7979
Guinea,GIN,Africa,13371136,0.33650035,0.07339774771805947,3631.0060688186854,LIC,59.3499,10.315234,105.277245
Guinea-Bissau,GNB,Africa,2013212,0.14741816,0.16351863796408525,2413.73063144865,LIC,61.343,7.65668,182.86955
Guyana,GUY,South America,807442,4.162018,0.24010456014016363,19235.05921911419,UMC,67.751,2.8363953,1041.0934
Haiti,HTI,North America,11243804,0.28798378,0.21294195006809968,3229.4881813130146,LIC,63.773,6.039903,101.62605
Honduras,HND,North America,10119590,0.94135344,0.23725000002743374,5603.2916689312515,LMC,70.864,1.7173487,479.8457
Hong Kong,HKG,Asia,7490198,4.472128,0.77745,61253.22820798596,HIC,84.7073,NA,NA
Hungary,HUN,Europe,9749421,4.8318176,0.38699999866938917,35826.8356476759,HIC,75.7302,0.40373874,2546.776
Iceland,ISL,Europe,366571,9.113012,0.6560000183459522,59609.6748242496,HIC,82.7113,0.26772836,5381.659
India,IND,Asia,1402617645,1.7264521,0.14028357749640094,7399.5309445661505,LMC,70.1563,3.2356682,217.08533
Indonesia,IDN,Asia,274814825,2.213211,0.249697972685309,12388.546775076637,LMC,68.8173,2.2787976,411.5026
Iran,IRN,Asia,87723397,8.62491,0.2227899091530391,14397.161120082936,UMC,74.1406,1.3021901,819.1639
Iraq,IRQ,Asia,42116556,3.825463,0.3638312124428724,12827.649463384423,UMC,69.6506,2.490583,545.16675
Ireland,IRL,Europe,4982560,7.0494823,0.5980000065744653,103141.17575202306,HIC,82.3897,0.3491474,6885.1587
Israel,ISR,Asia,8800323,6.7220626,0.6443837185713774,44938.65671794092,HIC,82.699700000000007,0.3513582,3322.7812
Italy,ITA,Europe,59912714,5.0507216,0.49899998998298367,45145.159145369376,HIC,82.1814,0.2974099,4239.948
Jamaica,JAM,North America,2830686,2.4383793,0.365,9178.492627228876,UMC,71.4519,1.8974578,641.81415
Japan,JPN,Asia,126304487,8.237897,0.3376298309991984,42977.6772015075,HIC,84.6703,0.24137695,4755.3013
Jordan,JOR,Asia,10865183,1.9291415,0.3007081268785366,9022.676672357935,UMC,75.5831,1.4393839,697.701
Kazakhstan,KAZ,Asia,19482065,13.113933,0.27750713697658996,32011.63459258554,UMC,71.1952,1.0119185,967.6552
Kenya,KEN,Africa,52217277,0.4209686,0.13531024021386912,5057.406675993465,LMC,61.5958,4.277858,212.39514
Kiribati,KIR,Oceania,126064,0.52316284,0.31228486821976487,2835.4728233278333,LMC,65.2046,5.857836,341.37057
Kuwait,KWT,Asia,4400103,21.73922,0.5837063216728823,49374.41315464661,HIC,78.2483,0.8870071,2908.1348
Kyrgyzstan,KGZ,Asia,6664099,1.2527564,0.1868925112054928,5589.729816138686,LMC,69.136,1.7845334,247.15718
Laos,LAO,Asia,7346484,2.6531994,0.0528063839451786,7995.648354641486,LMC,68.3386,4.3442454,164.28876
Latvia,LVA,Europe,1901069,3.6810806,0.4390000020911873,34214.73543359026,HIC,75.4781,0.37277818,2448.2175
Lebanon,LBN,Asia,5702353,4.1763225,0.36407253681281976,12507.535338832935,UMC,76.2988,1.5456982,896.64746
Lesotho,LSO,Africa,2235679,0.9718533,0.03737010737349555,2517.1644609982022,LMC,55.1325,6.6780224,249.29549
Liberia,LBR,Africa,5149439,0.15140018,0.16068250111303037,1497.3839031785792,LIC,61.2672,7.965545,182.08157
Libya,LBY,Africa,7045359,4.859569,0.3467500000403649,9976.094041623714,UMC,72.3882,1.1172917,1108.2805
Liechtenstein,LIE,Europe,38753,3.6624002,0.8860856478314407,NA,HIC,82.037,NA,NA
Lithuania,LTU,Europe,2795711,4.851269,0.4720000025118019,43317.72901025893,HIC,75.105,0.3697293,3077.9514
Luxembourg,LUX,Europe,630545,12.806264,0.7910000225844335,129839.67931075497,HIC,81.4108,0.24594632,7088.2036
Macao,MAC,Asia,683026,1.5127505,0.6173838184678364,59999.29028031144,HIC,84.61,NA,NA
Madagascar,MDG,Africa,28953509,0.13728699,0.15138891272275157,1545.729652941203,LIC,62.706,6.6259594,55.04694
Malawi,MWI,Africa,19533837,0.09051806,0.07829118484622233,1656.4441766356501,LIC,65.2159,4.308623,109.29371
Malaysia,MYS,Asia,33889515,7.7663965,0.4294917999249438,29200.489682487343,UMC,76.0566,0.814119,1091.8663
Maldives,MDV,Asia,502076,3.3423467,0.5169230355628441,14244.166544507207,UMC,78.713,0.6881541,1709.1392
Mali,MLI,Africa,21713790,0.2969476,0.1210341963693885,2796.416308530201,LIC,58.8577,9.999777,76.86353
Malta,MLT,Europe,518175,3.0885165,0.6940000109419421,50131.840586674385,HIC,82.3358,0.5967491,4934.7295
Marshall Islands,MHL,Oceania,42680,3.4339268,0.16316557119315062,6421.093650421743,UMC,65.3873,3.10286,646.307
Mauritania,MRT,Africa,4600083,1.0394421,0.1294816626586293,5963.297727236661,LMC,66.7943,4.166925,162.31105
Mauritius,MUS,Africa,1283178,2.9667716,0.34666352189560046,21700.461714586752,UMC,74.6572,1.5847442,1284.9636
Mexico,MEX,North America,126798998,3.3828366,0.42179361706630036,19728.490496959606,UMC,70.4492,1.3760648,1171.4056
Micronesia (country),FSM,Oceania,110883,1.3217535,0.24814479163688688,3851.676478810999,LMC,65.8776,2.549067,388.6023
Moldova,MDA,Europe,3069084,1.7065568,1.120168548620357,11642.044616895464,LMC,69.9144,1.4927409,876.8651
Mongolia,MNG,Asia,3290733,11.265909,0.9579183179747096,14965.384485158778,LMC,70.0291,1.4838042,575.515
Montenegro,MNE,Europe,607887,3.9600255,0.5300000040178263,21686.64355875352,UMC,75.8503,0.29893562,2452.143
Morocco,MAR,Africa,36584160,1.7648122,0.19966151952556788,8175.524723787563,LMC,73.1327,1.8578532,453.60022
Mozambique,MOZ,Africa,30783641,0.2071267,0.09186994361610828,1466.1270031702877,LIC,61.3904,6.734134,99.85564
Myanmar,MMR,Asia,53016472,0.6523924,0.10146999559436044,5926.840091679432,LMC,66.6121,4.2857366,224.53412
Namibia,NAM,Africa,2728716,1.404347,0.1645716652040439,9652.410987072308,UMC,64.0712,4.5723357,774.0443
Nauru,NRU,Oceania,11636,4.4083877,0.47450000000000003,11448.141285665177,UMC,61.5271,1.1129047,1395.7488
Nepal,NPL,Asia,28966540,0.5396416,0.06103548307939627,4412.547223209952,LIC,69.1065,2.9906416,209.62126
Netherlands,NLD,Europe,17636680,7.7491956,0.5080000115387833,64144.381262346426,HIC,81.3931,0.40115917,6867.401
New Caledonia,NCL,Oceania,284137,17.98137,0.38905533812949644,NA,HIC,77.0494,NA,NA
New Zealand,NZL,Oceania,5069848,6.710805,0.7255950731987981,46289.68450257286,HIC,82.6628,0.5004425,4567.3623
Nicaragua,NIC,North America,6565214,0.70987344,0.2664499999390002,6523.422512350702,LMC,70.7662,1.5092268,488.2481
Niger,NER,Africa,23717579,0.103766285,0.21098825038182442,1615.695040627882,LIC,59.8903,12.063661,81.18821
Nigeria,NGA,Africa,213996143,0.60513747,0.1788500057797113,5410.694515970786,LMC,53.0724,11.436999,169.08252
North Macedonia,MKD,Europe,1871976,3.718851,0.3010000081614704,20792.709544353133,UMC,74.4687,0.5949994,1530.4075
Norway,NOR,Europe,5379229,7.664853,0.7759999913984864,86099.9881929176,HIC,83.1953,0.23650816,7683.816
Oman,OMN,Asia,4522447,15.174401,0.670460390972567,37561.015140033705,HIC,77.7634,1.072204,1797.541
Pakistan,PAK,Asia,235001693,0.98192537,0.15921038934538403,5135.015750988654,LMC,65.7015,6.4575777,150.85934
Palau,PLW,Oceania,17786,11.948274,0.43839210807794265,18166.38080512763,HIC,68.6889,2.328932,2334.8855
Palestine,PSE,Asia,5069642,0.656242,0.3427313887836643,5138.707277752552,LMC,74.9978,1.5205599,555.45795
